product_id,product_name,category,key_features,target_audience,price,brand
P001,ZenBook Ultra 14 Laptop,Electronics,Intel Core i7-13th Gen|14-inch 2.8K OLED display|32GB RAM|1TB NVMe SSD|12-hour battery life,Professionals and creative students,1299.99,ZenBook
P002,SoundCore ANC Pro Earbuds,Electronics,Active noise cancellation|10mm dynamic drivers|30-hour battery|IPX5 water-resistant|Wireless charging case,Commuters and music lovers,79.99,SoundCore
P003,PixelShot 4K Action Camera,Electronics,4K 60fps video|170° wide-angle lens|Voice control|Built-in stabilization|Waterproof to 30m,Adventure travelers and content creators,249.99,PixelShot
P004,ChargePad Trio 15W,Electronics,15W fast wireless charging|3-device simultaneous charge|LED status indicator|Universal Qi compatibility|Anti-slip surface,Multi-device users and tech enthusiasts,44.99,ChargePad
P005,SmartWatch Series X,Electronics,Health monitoring|ECG and SpO2 sensors|GPS tracking|7-day battery|100+ workout modes,Health-conscious adults and fitness trackers,199.99,VitaWear
P006,CloudStep Trail Runner,Footwear,Carbon fiber plate|Responsive EVA foam|Breathable knit upper|Grippy Vibram outsole|Drop-in insole,Trail runners and ultramarathon athletes,149.99,CloudStep
P007,UrbanWalk Leather Oxford,Footwear,Full-grain leather upper|Cushioned memory foam insole|Goodyear welt construction|Slip-resistant sole|Classic brogue detailing,Professional men aged 25-45,189.99,UrbanWalk
P008,FlexStride Kids Sneaker,Footwear,Velcro closure|Flexible rubber sole|Washable upper|Wide fit|Reflective heel tab,Parents of children aged 3-10,34.99,FlexStride
P009,ArcticGrip Winter Boot,Footwear,Waterproof nubuck leather|Thinsulate insulation|-40°C rated|Ice-grip outsole|Pull-on loop design,Winter outdoor workers and cold-climate commuters,124.99,ArcticGrip
P010,SlipOn Bamboo Loafer,Footwear,Sustainable bamboo fiber lining|Memory foam footbed|Vegan leather upper|Elastic gore panels|Odor-resistant,Eco-conscious adults seeking casual comfort,64.99,TerraTread
P011,AeroBlend Pro Blender,Kitchen,2200W motor|6-blade hardened steel assembly|64oz BPA-free pitcher|12 preset programs|Self-cleaning cycle,Home cooks and smoothie enthusiasts,149.99,AeroBlend
P012,CastIron Chef Skillet 12",Kitchen,Pre-seasoned cast iron|Even heat distribution|Oven-safe to 500°F|Compatible with all cooktops|Dual pour spouts,Home chefs and cast iron collectors,54.99,IronChef
P013,BrewMaster Pour-Over Set,Kitchen,Borosilicate glass carafe|Stainless steel filter|Cork handle|600ml capacity|Heat-resistant base,Coffee enthusiasts and minimalist brewers,39.99,BrewMaster
P014,SmartCook Air Fryer 6Qt,Kitchen,6-quart capacity|8 cooking presets|Touch LCD display|Dishwasher-safe basket|Rapid air circulation technology,Busy families and health-conscious cooks,89.99,SmartCook
